Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,pantalon-chino-semi-jogger-beige-claro-lefties,Pantalón chino semi jogger beige claro Lefties,,LTA2374,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2374_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2374_2.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2374_3.jpeg
,,,,,,,LTA2374a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-hino-skinny-gris-claro-lefties,Pantalón hino skinny gris claro Lefties,,LTA2375,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2375.jpeg
,,,,,,,LTA2375a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-slim-fit-beige-claro-lefties,Pantalón slim fit beige claro Lefties,,LTA2376,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2376_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2376_2.jpg
,,,,,,,LTA2377,Tamaño,XL,,,,,,,,,,,40,,,1,,,,,,,,
,,PHYSICAL,catalog,pantalon-chino-semi-jogger-azul-grisaceo-lefties,Pantalón chino semi jogger azul grisáceo Lefties,,LTA2378,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2378_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2378_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2378_3.jpg
,,,,,,,LTA2378a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-slim-fit-azul-marino-lefties,Pantalón slim fit azul marino Lefties,,LTA2379,Tamaño,XL,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2379_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2379_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2379_3.JPG
,,,,,,,LTA2379a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-chino-semi-jogger-verde-olivo-lefties,Pantalón chino semi jogger verde olivo Lefties,,LTA2380,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2380.jpg
,,,,,,,LTA2380a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-joggers-verde-caqui-lefties,Pantalón joggers verde caqui Lefties,,LTA2381,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2381_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2381_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2381_3.jpg
,,,,,,,LTA2381a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-chino-relaxed-gris-oscuro-lefties,Pantalón chino relaxed gris oscuro Lefties,,LTA2382,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2382_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2382_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2382_3.jpg
,,,,,,,LTA2382a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-chino-relaxed-beige-lefties,Pantalón chino relaxed beige Lefties,,LTA2383,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2383.jpg
,,,,,,,LTA2383a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,chaqueta-cropped-fit-efecto-ante-verde-caqui-zara,Chaqueta cropped fit efecto ante verde caqui ZARA,,LTA2384,Tamaño,L,,,,,,,,,,,100,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2384_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2384_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2384_3.jpg
,,,,,,,LTA2385,Tamaño,S,,,,,,,,,,,100,,,1,,,,,,,,
,,,,,,,LTA2386,Tamaño,M,,,,,,,,,,,100,,,1,,,,,,,,
