Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,pulover-ajustado-de-algodon-azul-marino-hm,Pulóver ajustado de algodón azul marino H&M,,LTA2600,Tamaño,XS,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2600_1.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA2600_2.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA2600_3.JPG
,,,,,,,LTA2601,Tamaño,S,,,,,,,,,,,20,,,1,,,,,,,,
,,PHYSICAL,catalog,body-de-microfibra-con-mangas-japonesas-negro-hm,Body de microfibra con mangas japonesas negro H&M,,LTA2602,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2602_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2602_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2602_3.jpg
,,,,,,,LTA2602a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,blusa-de-mangas-globo-con-incersiones-de-encaje-beige-claro-hm,Blusa de mangas globo con incersiones de encaje beige claro H&M,,LTA2603,Tamaño,S,,,,,,,,,,,25,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2603_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2603_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2603_3.jpg
,,,,,,,LTA2603a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-entallado-acanalado-rosa-empolvado-hm,Pulóver entallado acanalado rosa empolvado H&M,,LTA2604,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2604_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2604_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2604_3.JPG
,,,,,,,LTA2604a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-algodon-burdeos-hm,Pulóver algodón burdeos H&M,,LTA2605,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2605_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2605_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2605_3.jpg
,,,,,,,LTA2605a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
