Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,polo-de-algodon-slim-azul-claro-hm,Polo de algodón slim azul claro H&M,,LTA2581,Tamaño,XL,,,,,,,,,,,,,,2,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2581_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2581_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2581_3.JPG
,,,,,,,LTA2583,Tamaño,L,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2585,Tamaño,M,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2588,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,polo-de-algodon-slim-verde-oscuro-hm,Polo de algodón slim verde oscuro H&M,,LTA2582,Tamaño,XL,,,,,,,,,,,,,,2,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2582_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2582_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2582_3.JPG
,,,,,,,LTA2584,Tamaño,L,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2586,Tamaño,M,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2589,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-sastre-slim-fit-beige-hm,Pantalón sastre slim fit beige H&M,,LTA2590,Tamaño,M_34,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2590_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2590_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2590_3.jpg
,,,,,,,LTA2591,Tamaño,L_36,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2592,Tamaño,S_32,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,tenis-verde-caqui-oscuro-hm,Tenis verde caqui oscuro H&M,,LTA2593,Tamaño,42,,,,,,,,,,,,,,2,/calzado-hombre,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2593_1.JPG https://github.com/uberboutique/ss/raw/main/calzado/LTA2593_2.JPG https://github.com/uberboutique/ss/raw/main/calzado/LTA2593_3.JPG
,,,,,,,LTA2594,Tamaño,41,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2595,Tamaño,43,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2596,Tamaño,44,,,,,,,,,,,,,,1,,,,,,,,
,,PHYSICAL,catalog,gorra-jockey-en-sarga-de-algodon-burdeo-im-not-in-the-mood-hm,Gorra jockey en sarga de algodón burdeo I´m not in the mood H&M,,LTA2597,Tamaño,única,,,,,,,,,,,,,,2,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2597_1.jpg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2597_2.jpg
,,,,,,,LTA2597a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,gorra-jockey-en-sarga-de-algodon-verde-a-hm,Gorra jockey en sarga de algodón verde A H&M,,LTA2598,Tamaño,única,,,,,,,,,,,,,,2,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2598_1.jpg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2598_2.jpg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2598_3.jpg
,,,,,,,LTA2598a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,cinturon-negro-hm,Cinturón negro H&M,,LTA2599,Tamaño,L,,,,,,,,,,,,,,1,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2599_1.jpg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2599_2.jpg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2599_3.jpg
,,,,,,,LTA2599a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
