Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,polo-calado-verde-salvia-zara,Polo calado verde salvia ZARA,,LTA2693,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2693.jpg
,,,,,,,LTA2693a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-acanalado-beige-zara,Polo acanalado beige ZARA,,LTA2694,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2694_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2694_2.jpg
,,,,,,,LTA2694a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-acanalado-blanco-zara,Polo acanalado blanco ZARA,,LTA2695,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2695_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2695_2.jpg
,,,,,,,LTA2695a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-acanalado-verde-caqui-zara,Polo acanalado verde caqui ZARA,,LTA2696,Tamaño,M,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2696_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2696_2.jpg
,,,,,,,LTA2696a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-con-textura-verde-olivo-zara,Polo con textura verde olivo ZARA,,LTA2697,Tamaño,M,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2697_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2697_2.jpeg
,,,,,,,LTA2697a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-acanalado-verde-olivo-zara,Polo acanalado verde olivo ZARA,,LTA2698,Tamaño,M,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2698.jpg
,,,,,,,LTA2698a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-verde-zara,Polo verde ZARA,,LTA2699,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2699.JPG
,,,,,,,LTA2699a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-azul-marino-zara,Polo azul marino ZARA,,LTA2700,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2700_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2700_2.jpg
,,,,,,,LTA2700a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-calado-azul-marino-zara,Polo calado azul marino ZARA,,LTA2701,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2701_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2701_2.jpg
,,,,,,,LTA2701a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-de-punto-acanalado-blanco-zara,Polo de punto acanalado blanco ZARA,,LTA2702,Tamaño,L,,,,,,,,,,,50,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2702.JPG
,,,,,,,LTA2702a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-texturizado-beige-claro-springfield,Polo texturizado beige claro SPRINGFIELD,,LTA2703,Tamaño,M,,,,,,,,,,,45,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2703_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2703_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2703_3.JPG
,,,,,,,LTA2703a,Tamaño,-,,,,,,,,,,,45,,,0,,,,,,,,
