Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,camisa-relaxed-fit-texturizada-verde-caqui-lefties,Camisa relaxed fit texturizada verde caqui Lefties,,LTA2707,Tamaño,M,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2707_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2707_2.jpeg
,,,,,,,LTA2707a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-de-cuello-chino-azul-marino-lefties,Camisa regular fit de cuello chino azul marino Lefties,,LTA2708,Tamaño,M,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2708_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2708_2.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2708_3.jpeg
,,,,,,,LTA2708a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-de-cuello-chino-azul-claro-lefties,Camisa regular fit de cuello chino azul claro Lefties,,LTA2709,Tamaño,L,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2709_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2709_2.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2709_3.jpeg
,,,,,,,LTA2714,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,camisa-de-lino-azul-claro-lefties,Camisa de lino azul claro Lefties,,LTA2710,Tamaño,S,,,,,,,,,,,,,,1,"/partes-de-arriba, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2710_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2710_2.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2710_3.jpeg
,,,,,,,LTA2710a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-de-cuello-chino-beige-claro-lefties,Camisa regular fit de cuello chino beige claro Lefties,,LTA2711,Tamaño,XL,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2711_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2711_2.JPG
,,,,,,,LTA2715,Tamaño,M,,,,,,,,,,,,,,2,,,,,,,,
