Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,pulover-oversized-fit-negro-ice-cube-hm,Pulóver oversized fit negro Ice cube H&M,,LTA2044,Tamaño,XXL,,,,,,,,,,,25,,,1,"/partes-de-arriba-hombres, /tallas-extra-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2044_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2044_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2044_3.jpg
,,,,,,,LTA2044a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-loose-fit-con-diseno-blanco-garfield-hm,Pulóver loose fit con diseño blanco Garfield H&M,,LTA2045,Tamaño,XXL,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-extra-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2045_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2045_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2045_3.JPG
,,,,,,,LTA2045a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-loose-fit-con-motivo-estampado-blanco-georges-gas-hm,Pulóver loose fit con motivo estampado blanco George´s Gas H&M,,LTA2046,Tamaño,L,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2046_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2046_2.jpg
,,,,,,,LTA2046a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-con-motivo-estampado-marron-great-lake-hm,Pulóver con motivo estampado marrón Great Lake H&M,,LTA2047,Tamaño,XL,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2047_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2047_2.JPG
,,,,,,,LTA2047a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-loose-fit-estilo-vintage-negro-korn-hm,Pulóver loose fit estilo vintage negro Korn H&M,,LTA2048,Tamaño,L,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2048_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2048_2.jpg
,,,,,,,LTA2048a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-con-motivo-estampado-blanco-sevilla-hm,Pulóver con motivo estampado blanco Sevilla H&M,,LTA2049,Tamaño,XXL,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-extra-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2049_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2049_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2049_3.jpg
,,,,,,,LTA2049a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
