Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,top-acanalado-con-cuello-bote-blanco-hm,Top acanalado con cuello bote blanco H&M,,LTA1750,Tamaño,M,,,,,,,,,,,20,,,2,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1750_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1750_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1750_3.jpg
,,,,,,,LTA1750a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,blusa-oversized-blanca-estampado-azul-hm,Blusa oversized blanca estampado azul H&M,,LTA1752,Tamaño,M,,,,,,,,,,,25,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1752_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1752_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1752_3.jpg
,,,,,,,LTA1752a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,puliver-de-algodon-blanco-hm,Pulíver de algodón blanco H&M,,LTA1754,Tamaño,L,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1754_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1754_2.jpg
,,,,,,,LTA1754a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-entallado-gris-hm,Top entallado gris H&M,,LTA1755,Tamaño,S,,,,,,,,,,,18,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1755_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1755_2.jpg
,,,,,,,LTA1755a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
,,PHYSICAL,catalog,top-efecto-arrugado-color-crema-hm,Top efecto arrugado color crema H&M,,LTA1761,Tamaño,L,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,
,,,,,,,LTA1761a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-de-tirantes-con-escote-drapeado-animal-print-hm,Top de tirantes con escote drapeado animal print H&M,,LTA1762,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1762_1.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA1762_2.JPG
,,,,,,,LTA1762a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-con-escote-v-crema/negro-rayado-hm,Top con escote V crema/negro rayado H&M,,LTA1764,Tamaño,M,,,,,,,,,,,20,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1764_1.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA1764_2.JPG
,,,,,,,LTA1764a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-sin-mangas-microfibra-blanco-hm,Top sin mangas microfibra blanco H&M,,LTA1767,Tamaño,M,,,,,,,,,,,20,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1767_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1767_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1767_3.jpg
,,,,,,,LTA1767a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-corta-en-popelina-azul-cuadros-hm,Camisa corta en popelina azul cuadros H&M,,LTA1768,Tamaño,XL,,,,,,,,,,,30,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1768_1.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA1768_2.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA1768_3.JPG
