Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,pantalon-de-traje-skinny-girs-oscuro-hm,Pantalón de traje skinny girs oscuro H&M,,LTA2532,Tamaño,M_34,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2532_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2532_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2532_3.jpg
,,,,,,,LTA2533,Tamaño,L_36,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-traje-slim-fit-marron-hm,Pantalón de traje slim fit marrón H&M,,LTA2534,Tamaño,S_32,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2534_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2534_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2534_3.jpg
,,,,,,,LTA2535,Tamaño,L_36,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-traje-slim-fit-beige-hm,Pantalón de traje slim fit beige H&M,,LTA2536,Tamaño,S_32,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2536_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2536_2.jpg
,,,,,,,LTA2537,Tamaño,S_30,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-sarga-slim-fit-beige-claro-hm,Pantalón de sarga slim fit beige claro H&M,,LTA2538,Tamaño,M,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2538_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2538_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2538_3.jpg
,,,,,,,LTA2539,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-cropped-de-algodon-regular-fit-marron-oscuro-hm,Pantalón de sarga slim fit beige claro H&M,,LTA2540,Tamaño,L,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2543_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2543_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2543_3.jpg
,,,,,,,LTA2543,Tamaño,M,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2544,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-sarga-slim-fit-azul-marino-hm,Pantalón de sarga slim fit azul marino H&M,,LTA2541,Tamaño,M,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2541_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2541_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2541_3.jpg
,,,,,,,LTA2542,Tamaño,S,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,pantalon-cropped-de-algodon-regular-fit-beige-claro-hm,Pantalón cropped de algodón regular fit beige claro H&M,,LTA2546,Tamaño,S,,,,,,,,,,,,,,2,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2546_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2546_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2546_3.jpg
,,,,,,,LTA2547,Tamaño,M,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,LTA2548,Tamaño,L,,,,,,,,,,,,,,2,,,,,,,,
,,PHYSICAL,catalog,bolso-crossbody-negro-hm,Bolso crossbody negro H&M,,LTA2549,Tamaño,mediano,,,,,,,,,,,,,,1,/bolsos,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/bolsos/LTA2549_1.JPG https://github.com/uberboutique/ss/raw/main/bolsos/LTA2549_2.JPG
,,,,,,,LTA2549a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,bolso-de-hombre-cruzado-negro-hm,Bolso de hombre cruzado negro H&M,,LTA2550,Tamaño,mediano,,,,,,,,,,,,,,1,/bolsos,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/bolsos/LTA2550_1.JPG https://github.com/uberboutique/ss/raw/main/bolsos/LTA2550_2.JPG
,,,,,,,LTA2550a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,botas-safari-marron-hm,Botas safari marrón H&M,,LTA2551,Tamaño,41,,,,,,,,,,,,,,1,/calzado,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2551_1.JPG https://github.com/uberboutique/ss/raw/main/calzado/LTA2551_2.JPG https://github.com/uberboutique/ss/raw/main/calzado/LTA2551_3.JPG
,,,,,,,LTA2552,Tamaño,42,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,LTA2553,Tamaño,43,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,LTA2554,Tamaño,44,,,,,,,,,,,,,,1,,,,,,,,
