Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,balsamo-labial-hyaluronic-cotton-candy-renova,Bálsamo labial Hyaluronic cotton candy RENOVA,,LTA2766,Tamaño,4.8g,,,,,,,,,,,10,,,3,/belleza,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/belleza/LTA2766_1.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2766_2.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2766_3.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2766_4.JPG
,,,,,,,LTA2766a,Tamaño,-,,,,,,,,,,,10,,,0,,,,,,,,
,,PHYSICAL,catalog,balsamo-labial-hyaluronic-caramel-renova,Bálsamo labial Hyaluronic caramel RENOVA,,LTA2767,Tamaño,4.8g,,,,,,,,,,,10,,,4,/belleza,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/belleza/LTA2767_1.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2767_2.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2767_3.JPG https://github.com/uberboutique/ss/raw/main/belleza/LTA2767_4.JPG
,,,,,,,LTA2767a,Tamaño,-,,,,,,,,,,,10,,,0,,,,,,,,
,,PHYSICAL,catalog,balsamo-labial-humectante-chocolate-renova,Bálsamo labial humectante chocolate RENOVA,,LTA2768,Tamaño,4.6g,,,,,,,,,,,7,,,3,/belleza,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/belleza/LTA2768_1.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2768_2.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2768_3.jpeg
,,,,,,,LTA2768a,Tamaño,-,,,,,,,,,,,7,,,0,,,,,,,,
,,PHYSICAL,catalog,balsamo-labial-humectante-pink-vainilla-renova,Bálsamo labial humectante pink vainilla RENOVA,,LTA2769,Tamaño,4.6g,,,,,,,,,,,7,,,3,/belleza,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/belleza/LTA2769_1.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2769_2.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2769_3.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2769_4.jpeg
,,,,,,,LTA2769a,Tamaño,-,,,,,,,,,,,7,,,0,,,,,,,,
,,PHYSICAL,catalog,balsamo-labial-humectante-fresa-renova,Bálsamo labial humectante fresa RENOVA,,LTA2770,Tamaño,4.6g,,,,,,,,,,,7,,,3,/belleza,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/belleza/LTA2770_1.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2770_2.jpeg https://github.com/uberboutique/ss/raw/main/belleza/LTA2770_3.jpeg
,,,,,,,LTA2770a,Tamaño,-,,,,,,,,,,,7,,,0,,,,,,,,
