Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,vestido-acanalado-desmangado-verde-caqui-lefties,Vestido acanalado desmangado verde caqui Lefties,,LTA2797,Tamaño,XS,,,,,,,,,,,40,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2797_1.JPG https://github.com/uberboutique/ss/raw/main/vestidos/LTA2797_2.jpeg
,,,,,,,LTA2797a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-acanalado-desmangado-negro-lefties,Vestido acanalado desmangado negro Lefties,,LTA2798,Tamaño,M,,,,,,,,,,,40,,,1,"/vestido, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2798_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2798_2.jpeg
,,,,,,,LTA2798a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-finos-verde-oliva-zara,Vestido de tirantes finos verde oliva ZARA,,LTA2799,Tamaño,M,,,,,,,,,,,60,,,1,"/vestido, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2799.JPG
,,,,,,,LTA2799a,Tamaño,-,,,,,,,,,,,60,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-elastizado-elegante-azul-marino-zara,Vestido elastizado elegante azul marino ZARA,,LTA2800,Tamaño,S,,,,,,,,,,,60,,,1,"/vestido, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2800_1.JPG https://github.com/uberboutique/ss/raw/main/vestidos/LTA2800_2.jpeg
,,,,,,,LTA2800a,Tamaño,-,,,,,,,,,,,60,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-finos-marron-pullbear,Vestido de tirantes finos marrón PULL&BEAR,,LTA2801,Tamaño,L,,,,,,,,,,,40,,,1,"/vestidos, /hm, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2801.JPG
,,,,,,,LTA2801a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-finos-de-algodon-burdeos-claro-pullbear,Vestido de tirantes finos de algodón burdeos claro PULL&BEAR,,LTA2802,Tamaño,M,,,,,,,,,,,40,,,1,"/vestidos, /hm, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2802.JPG
,,,,,,,LTA2802a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-finos-de-algodon-azul-claro-pullbear,Vestido de tirantes finos de algodón azul claro PULL&BEAR,,LTA2803,Tamaño,S,,,,,,,,,,,40,,,1,"/vestidos, /hm, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2803.jpeg
,,,,,,,LTA2803a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-elastizado-fucsia-zara,Vestido elastizado fucsia ZARA,,LTA2804,Tamaño,S,,,,,,,,,,,60,,,1,"/vestidos, /hm, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2804_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2804_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2804_3.jpeg
,,,,,,,LTA2804a,Tamaño,-,,,,,,,,,,,60,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-finos-verde-caqui-stradivarius,Vestido de tirantes finos verde caqui STRADIVARIUS,,LTA2805,Tamaño,S,,,,,,,,,,,40,,,1,"/vestidos, /hm, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2805_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2805_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2805_3.jpeg
,,,,,,,LTA2805a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
