Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,vestido-drapeado-beige-claro-hm,Vestido drapeado beige claro H&M,,LTA2621,Tamaño,XXS,,,,,,,,,,,25,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2621_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2621_2.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2621_3.jpg
,,,,,,,LTA2621a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-bodycon-con-mangas-japonesas-negro-hm,Vestido bodycon con mangas japonesas negro H&M,,LTA2622,Tamaño,S,,,,,,,,,,,25,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2622_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2622_2.jpg
,,,,,,,LTA2622a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-con-detalle-de-nudo-verde-oscuro-hm,Vestido con detalle de nudo verde oscuro H&M,,LTA2623,Tamaño,S,,,,,,,,,,,30,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2623_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2623_2.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2623_3.jpg
,,,,,,,LTA2623a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-pulover-con-hombreras-blanco-hm,Vestido pulóver con hombreras blanco H&M,,LTA2624,Tamaño,S,,,,,,,,,,,25,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2624_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2624_2.jpg
,,,,,,,LTA2624a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-de-tirantes-con-cuerpo-panal-de-abeja-rojo-estampado-hm,Vestido de tirantes con cuerpo panal de abeja rojo estampado H&M,,LTA2625,Tamaño,S,,,,,,,,,,,30,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2625_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2625_2.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2625_3.jpg
,,,,,,,LTA2625a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-tunica-con-botones-beige-claro-floral-hm,Vestido túnica con botones beige claro floral H&M,,LTA2626,Tamaño,S,,,,,,,,,,,30,,,1,"/vestidos, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2626_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2626_2.jpg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2626_3.jpg
