Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,top-de-tirantes-de-microfibra-negro-hm,Top de tirantes de microfibra negro H&M,,LTA1742,Tamaño,S,,,,,,,,,,,18,,,2,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1742_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1742_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1742_3.jpg
,,,,,,,LTA1742a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
,,PHYSICAL,catalog,top-acanalado-con-cuello-bote-negro-hm,Top acanalado con cuello bote negro H&M,,LTA1743,Tamaño,XXS,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1743_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1743_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1743_3.jpg
,,,,,,,LTA1770,Tamaño,L,,,,,,,,,,,20,,,1,,,,,,,,
,,PHYSICAL,catalog,blusa-panal-de-abeja-de-viscosa-rojo-floral-hm,Blusa panal de abeja de viscosa rojo floral H&M,,LTA1744,Tamaño,L,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1744_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1744_2.jpg
,,,,,,,LTA1744a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-oversized-de-algodon-azul-claro-rayas-hm,Camisa oversized de algodón azul claro rayas H&M,,LTA1746,Tamaño,XS,,,,,,,,,,,25,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1746_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1746_2.jpg
,,,,,,,LTA1746a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-de-popelina-azul-claro-rayado-hm,Camisa de popelina azul claro rayado H&M,,LTA1747,Tamaño,L,,,,,,,,,,,35,,,1,"/tops, /tallas-grandes",,,,,,Yes,
,,,,,,,LTA1747a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-azul-oscuro-estampado-paisley-hm,Camisa azul oscuro estampado paisley H&M,,LTA1748,Tamaño,L,,,,,,,,,,,30,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1748_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1748_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1748_3.jpg
,,,,,,,LTA1748a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-acanalado-beige-claro-hm,Pulover acanalado beige claro H&M,,LTA1749,Tamaño,L,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA1749_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA1749_2.jpg
,,,,,,,LTA1749a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
