Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,traje-de-bano-mariposa,Traje de baño Mariposa,,UB0026,Tamaño,14_Años,,,,,,,,,,,25,,,1,/trajes-de-bano-ninas,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/trajes-de-bano-ninas/UB0026.JPG
,,,,,,,UB0026a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,bikini-ninitas-sandia,Bikini niñitas Sandía,,UB0028,Tamaño,6_Años,,,,,,,,,,,20,16,Yes,2,"/trajes-de-bano-ninas, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/trajes-de-bano-ninas/UB0028_1.jpeg
,,,,,,,UB0028a,Tamaño,-,,,,,,,,,,,20,16,Yes,0,,,,,,,,
,,PHYSICAL,catalog,blusa-elegante-con-diseno-geometrico,Blusa elegante con diseño geométrico,,UB0091,Tamaño,M,,,,,,,,,,,20,12,Yes,1,"/tops, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/UB0091_1.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0091_2.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0091_3.jpeg
,,,,,,,UB0091a,Tamaño,-,,,,,,,,,,,20,12,Yes,0,,,,,,,,
,,PHYSICAL,catalog,jumpsuit-palazzo-con-lazo-delantero,Jumpsuit palazzo con lazo delantero,,UB0093,Tamaño,S,,,,,,,,,,,30,25,Yes,1,"/monos, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/monos/UB0093_1.jpeg https://github.com/uberboutique/ss/raw/main/monos/UB0093_2.jpeg https://github.com/uberboutique/ss/raw/main/monos/UB0093_3.jpeg
,,,,,,,UB0093a,Tamaño,-,,,,,,,,,,,30,25,Yes,0,,,,,,,,
,,PHYSICAL,catalog,vestido-linea-a-elegante,Vestido línea A elegante,,UB0101,Tamaño,L,,,,,,,,,,,30,25,Yes,1,"/vestidos, /curvy, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0101_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/UB0101_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/UB0101_3.jpeg
,,,,,,,UB0101a,Tamaño,-,,,,,,,,,,,30,25,Yes,0,,,,,,,,
,,PHYSICAL,catalog,vestido-healter-dama-de-honor,Vestido healter dama de honor,,UB0109,Tamaño,XS,,,,,,,,,,,30,25,Yes,1,"/vestidos, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0109_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/UB0109_2.jpeg
,,,,,,,BU0110,Tamaño,S,,,,,,,,,,,25,,,1,,,,,,,,
,,PHYSICAL,catalog,vestido-corto-de-puntos,Vestido corto de puntos,,UB0122,Tamaño,S,,,,,,,,,,,18,,,1,"/vestidos, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0122_1.jpeg
,,,,,,,UB0122a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-azul-rey-de-tela-faja,Vestido Azul Rey de tela faja,,UB0179,Tamaño,XS,,,,,,,,,,,55,,,1,/vestidos,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0179_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/UB0179_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/UB0179_3.jpeg
,,,,,,,UB0179a,Tamaño,-,,,,,,,,,,,55,,,0,,,,,,,,
,,PHYSICAL,catalog,top-corto-manga-farol,Top corto manga farol,,UB0184,Tamaño,XS,,,,,,,,,,,12,9,Yes,1,"/tops, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/UB0184_1.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0184_2.jpeg
,,,,,,,UB0184a,Tamaño,-,,,,,,,,,,,12,9,Yes,0,,,,,,,,
,,PHYSICAL,catalog,top-corsetero-asimetrico,Top corsetero asimétrico,,UB0188,Tamaño,XS,,,,,,,,,,,12,9,Yes,1,"/tops, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/UB0188_1.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0188_2.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0188_3.JPG
,,,,,,,UB0189,Tamaño,S,,,,,,,,,,,12,9,Yes,1,,,,,,,,
,,,,,,,UB0190,Tamaño,M,,,,,,,,,,,12,9,Yes,1,,,,,,,,
,,PHYSICAL,catalog,cinturon-trenzado,Cinturón trenzado,,UB0197,Tamaño,Unitalla,,,,,,,,,,,12,7,Yes,2,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/UB0197_1.jpg https://github.com/uberboutique/ss/raw/main/accesorios/UB0197_2.jpeg
,,,,,,,UB0197a,Tamaño,-,,,,,,,,,,,12,7,Yes,0,,,,,,,,
,,PHYSICAL,catalog,falda-ajustada-animal-print,Falda ajustada animal print,,UB02183,Tamaño,M,,,,,,,,,,,15,19,Yes,1,"/partes-de-abajo, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/UB0218_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/UB0218_2.jpeg
,,,,,,,UB0218,Tamaño,S,,,,,,,,,,,15,12,Yes,1,,,,,,,,
,,PHYSICAL,catalog,body-tong-hm,Body tong H&M,,UB0225,Tamaño,XS,,,,,,,,,,,15,12,Yes,1,"/tops, /hm, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/UB0225_1.jpg https://github.com/uberboutique/ss/raw/main/tops/UB0225_2.jpg
,,,,,,,UB0225a,Tamaño,-,,,,,,,,,,,15,12,Yes,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-elegante-de-tela-brillosa-hm,Pantalón elegante de tela brillosa H&M,,UB0227,Tamaño,XXS,,,,,,,,,,,40,40,Yes,1,"/partes-de-abajo, /hm, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/UB0227_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/UB0227_2.jpg
,,,,,,,UB0227a,Tamaño,-,,,,,,,,,,,40,40,Yes,0,,,,,,,,
,,PHYSICAL,catalog,vestido-con-cordon-de-ajuste-hm,Vestido con cordón de ajuste H&M,,UB0228,Tamaño,M,,,,,,,,,,,20,18,Yes,2,"/vestidos, /hm, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0228_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/UB0228_2.jpg
,,,,,,,UB0229,Tamaño,S,,,,,,,,,,,20,18,Yes,1,,,,,,,,
,,PHYSICAL,catalog,gafas-azules-con-cadena-hm,Gafas azules con cadena H&M,,UB234,Tamaño,Unitalla,,,,,,,,,,,12,,,2,"/accesorios, /hm",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/UB234_1.jpeg https://github.com/uberboutique/ss/raw/main/accesorios/UB234_2.jpeg
,,,,,,,UB234a,Tamaño,-,,,,,,,,,,,12,,,0,,,,,,,,
,,PHYSICAL,catalog,vestido-corto-azul-real,Vestido corto azul real,,UB0234,Tamaño,S,,,,,,,,,,,20,18,Yes,1,"/vestidos, /hm",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/UB0234_1.jpg https://github.com/uberboutique/ss/raw/main/vestidos/UB0234_2.jpg https://github.com/uberboutique/ss/raw/main/vestidos/UB0234_3.jpg
,,,,,,,UB0235,Tamaño,M,,,,,,,,,,,20,18,Yes,1,,,,,,,,
,,PHYSICAL,catalog,jean-slim-fit,Jean slim fit,,UB0240,Tamaño,S_30X32,,,,,,,,,,,35,,,1,"/hombres, /hm",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/UB0240_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/UB0240_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/UB0240_3.jpg
,,,,,,,UB0240a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,sandalias-anudadas,Sandalias anudadas,,UB0245,Tamaño,39,,,,,,,,,,,35,27,Yes,2,"/calzado, /hm, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/UB0245_1.jpg https://github.com/uberboutique/ss/raw/main/calzado/UB0245_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/UB0245_3.jpg
,,,,,,,UB0246,Tamaño,37,,,,,,,,,,,35,27,Yes,1,,,,,,,,
,,PHYSICAL,catalog,alpargatas-a-cuadros,Alpargatas a cuadros,,UB0248,Tamaño,36,,,,,,,,,,,25,18,Yes,1,"/calzado, /hm, /ofertas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/UB0248_1.jpg https://github.com/uberboutique/ss/raw/main/calzado/UB0248_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/UB0248_3.jpg https://github.com/uberboutique/ss/raw/main/calzado/UB0248_4.jpg
,,,,,,,UB0248a,Tamaño,-,,,,,,,,,,,25,18,Yes,0,,,,,,,,
,,PHYSICAL,catalog,top-amarillo-en-tela-de-algodon,Top Amarillo en tela de algodón,,UB0252,Tamaño,XS,,,,,,,,,,,10,,,2,"/tops, /hm",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/UB0252_1.jpeg https://github.com/uberboutique/ss/raw/main/tops/UB0252_2.jpeg
,,,,,,,UB0252a,Tamaño,-,,,,,,,,,,,10,,,0,,,,,,,,
