"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"66f8887a60a180772598b5b4","85f7ccac-01f7-47d4-aa34-c88b9016560a","PHYSICAL","catalog","mascara-completa-de-lucifer","Máscara completa de lucifer","","HAW0078","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","5","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","a74fbd71-79e7-4d09-9d9a-bcd18297220f","","","","","","HAW0078a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f88878e8e0cb01bff37475","1949d0b8-d515-427b-b056-69ae2838cff0","PHYSICAL","catalog","mascara-de-calabaza-aterradora","Máscara de calabaza aterradora","","HAW0077","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","5","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","78bd52cf-ab6f-4120-87c9-6ac2978bc6f8","","","","","","HAW0077a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f88875a4c24b619b54687e","5fc241c9-d76d-4248-a61e-faaa5d49b09b","PHYSICAL","catalog","antifaz-de-conejo-sexy","Antifaz de conejo sexy","","HAW0076","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","6","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","0d1483fa-4369-4454-8d1d-e17d474ca3a9","","","","","","HAW0076a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f88872e8e0cb01bff37470","00eb449d-ec67-4ac5-990e-478db2ec6355","PHYSICAL","catalog","mascara-completa-de-esqueleto-endemoniado-con-peluca","Máscara completa de esqueleto endemoniado con peluca","","HAW0075","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","5","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","4c4b1e37-1d24-4994-af66-07151cc5b1c5","","","","","","HAW0075a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f8887060a180772598b5af","06d07f0c-7c3c-4432-8c10-2d625d7cb60c","PHYSICAL","catalog","mascara-completa-de-payaso-del-terror-con-mini-sombrero-integrado","Máscara completa de payaso del terror con mini sombrero integrado","","HAW0074","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","4","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","1adbfe3b-c474-4be1-bc9c-288065ee346f","","","","","","HAW0074a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f8886ee8e0cb01bff3746a","143d36c9-21a1-4561-8c69-b855a3775044","PHYSICAL","catalog","mascara-careta-aterrradora","Mascara careta aterrradora","","HAW0073","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","4","/halloween","","0.0","0.0","0.0","0.0","Yes",""
"","e61583f6-98c4-4be8-8665-9b7b234ae163","","","","","","HAW0073a","Tamaño","'-","","","","","","","","","","","0.00","0.00","No","0","","","0.0","0.0","0.0","0.0","",""
"66f8886ca4c24b619b546874","334713ac-6b5d-4e4e-a16e-0f4c902cb1e6","PHYSICAL","catalog","set-de-3-piezas-de-alas-de-mariposa","Set de 3 piezas de alas de mariposa","","HAW0072","Tamaño","Unitalla","","","","","","","","","","","0.00","0.00","No","5","/halloween","","0.0","0.0","0.0","0.0","Yes",""
